第0局游戏成功,reward为99.9984366721694
第1局游戏成功,reward为99.99623921556199
第2局游戏成功,reward为99.97470743688189
第3局游戏成功,reward为99.93107305185416
第4局游戏成功,reward为99.9
第5局游戏失败,reward为-0.05823720588242598
第6局游戏成功,reward为99.98040447932561
第7局游戏成功,reward为99.9
第8局游戏成功,reward为99.91316337509042
第9局游戏成功,reward为99.93223188014075
第10局游戏成功,reward为99.9
第11局游戏成功,reward为99.9
第12局游戏成功,reward为99.9
第13局游戏成功,reward为99.97027471090989
第14局游戏成功,reward为99.9
第15局游戏成功,reward为99.9
第16局游戏成功,reward为99.9
第17局游戏成功,reward为99.9
第18局游戏成功,reward为99.9
第19局游戏成功,reward为99.95861777158582
第20局游戏失败,reward为-0.060026955086970195
第21局游戏成功,reward为99.9
第22局游戏成功,reward为99.92797680108713
第23局游戏失败,reward为-0.1
第24局游戏失败,reward为-0.017161856477428933
第25局游戏成功,reward为99.9
第26局游戏失败,reward为-0.1
第27局游戏成功,reward为99.9
第28局游戏成功,reward为99.9
第29局游戏成功,reward为99.92594785617335
第30局游戏成功,reward为99.95900402905995
第31局游戏失败,reward为-0.1
第32局游戏成功,reward为99.9
第33局游戏失败,reward为-0.000280691165163402
第34局游戏失败,reward为-0.015758834123199072
第35局游戏成功,reward为99.9
第36局游戏成功,reward为99.9
第37局游戏失败,reward为-0.04600471031074811
第38局游戏失败,reward为-0.014668153907348665
第39局游戏成功,reward为99.95751173329732
第40局游戏成功,reward为99.9490442554348
第41局游戏成功,reward为99.92999517220485
第42局游戏成功,reward为99.9
第43局游戏成功,reward为99.91315566972176
第44局游戏成功,reward为99.91698594978546
第45局游戏成功,reward为99.99674393983194
第46局游戏失败,reward为-0.1
第47局游戏成功,reward为99.98737055181074
第48局游戏成功,reward为99.97643289508336
第49局游戏成功,reward为99.9
第50局游戏成功,reward为99.93045715411839
第51局游戏成功,reward为99.9
第52局游戏失败,reward为-0.1
第53局游戏成功,reward为99.9
第54局游戏成功,reward为99.92355377586543
第55局游戏成功,reward为99.9
第56局游戏成功,reward为99.9
第57局游戏成功,reward为99.95365558103971
第58局游戏成功,reward为99.91158111534072
第59局游戏失败,reward为-0.1
第60局游戏成功,reward为99.9
第61局游戏成功,reward为99.9
第62局游戏成功,reward为99.9
第63局游戏成功,reward为99.95043039822231
第64局游戏成功,reward为99.9
第65局游戏成功,reward为99.9963439078874
第66局游戏成功,reward为99.9
第67局游戏成功,reward为99.91632261412715
第68局游戏成功,reward为99.9
第69局游戏成功,reward为99.9
第70局游戏失败,reward为-0.1
第71局游戏成功,reward为99.98544313756433
第72局游戏成功,reward为99.9
第73局游戏成功,reward为99.9
第74局游戏成功,reward为99.9
第75局游戏成功,reward为99.9
第76局游戏成功,reward为99.9
第77局游戏成功,reward为99.9
第78局游戏失败,reward为-0.013757155040695628
第79局游戏成功,reward为99.97059033896039
第80局游戏成功,reward为99.9
第81局游戏成功,reward为99.9
第82局游戏成功,reward为99.98219553647309
第83局游戏成功,reward为99.93319711990422
第84局游戏成功,reward为99.9
第85局游戏失败,reward为-0.1
第86局游戏成功,reward为99.9
第87局游戏失败,reward为-0.0012889184250567016
第88局游戏成功,reward为99.9129689744312
第89局游戏成功,reward为99.9
第90局游戏成功,reward为99.9
第91局游戏成功,reward为99.95298453488653
第92局游戏成功,reward为99.92811960295339
第93局游戏成功,reward为99.9
第94局游戏失败,reward为-0.1
第95局游戏成功,reward为99.9
第96局游戏失败,reward为-0.1
第97局游戏成功,reward为99.92665590511749
第98局游戏失败,reward为-0.1
第99局游戏成功,reward为99.9
第100局游戏成功,reward为99.9
第101局游戏成功,reward为99.9
第102局游戏失败,reward为-0.1
第103局游戏成功,reward为99.99514115550328
第104局游戏成功,reward为99.9
第105局游戏失败,reward为-0.1
第106局游戏成功,reward为99.9
第107局游戏成功,reward为99.9
第108局游戏成功,reward为99.94365501166018
第109局游戏成功,reward为99.95025875590909
第110局游戏失败,reward为-0.008335836704084816
第111局游戏成功,reward为99.9
第112局游戏失败,reward为-0.1
第113局游戏成功,reward为99.9
第114局游戏成功,reward为99.9
第115局游戏成功,reward为99.9
第116局游戏成功,reward为99.9773923742231
第117局游戏成功,reward为99.9
第118局游戏失败,reward为-0.1
第119局游戏成功,reward为99.9
第120局游戏失败,reward为-0.022986299959574796
第121局游戏成功,reward为99.92109194533417
第122局游戏成功,reward为99.97731609267896
第123局游戏成功,reward为99.9
第124局游戏成功,reward为99.97143964984852
第125局游戏成功,reward为99.9
第126局游戏成功,reward为99.94372686509953
第127局游戏失败,reward为-0.012261132343389745
第128局游戏成功,reward为99.91812685763958
第129局游戏成功,reward为99.9
第130局游戏失败,reward为-0.06363227772747153
第131局游戏失败,reward为-0.030312663764423844
第132局游戏成功,reward为99.9371178362611
第133局游戏失败,reward为-0.1
第134局游戏成功,reward为99.94785036837729
第135局游戏成功,reward为99.9
第136局游戏成功,reward为99.9
第137局游戏成功,reward为99.91228031406311
第138局游戏成功,reward为99.93736607019333
第139局游戏失败,reward为-0.08195796271931483
第140局游戏失败,reward为-0.018154947952344614
第141局游戏成功,reward为99.9
第142局游戏成功,reward为99.9
第143局游戏成功,reward为99.90144574029263
第144局游戏成功,reward为99.96880886615864
第145局游戏失败,reward为-0.1
第146局游戏成功,reward为99.9
第147局游戏成功,reward为99.9
第148局游戏成功,reward为99.9
第149局游戏成功,reward为99.9
第150局游戏成功,reward为99.9129256610631
第151局游戏成功,reward为99.91248012859204
第152局游戏失败,reward为-0.04603519581474794
第153局游戏成功,reward为99.9
第154局游戏成功,reward为99.9
第155局游戏成功,reward为99.9729971892044
第156局游戏成功,reward为99.9
第157局游戏成功,reward为99.9
第158局游戏成功,reward为99.9
第159局游戏成功,reward为99.97290257176645
第160局游戏成功,reward为99.9
第161局游戏失败,reward为-0.0693416633761345
第162局游戏失败,reward为-0.1
第163局游戏成功,reward为99.9
第164局游戏成功,reward为99.9
第165局游戏成功,reward为99.9
第166局游戏成功,reward为99.942485409524
第167局游戏失败,reward为-0.04635086438374527
第168局游戏失败,reward为-0.05745608529590275
第169局游戏成功,reward为99.92653692690283
第170局游戏成功,reward为99.9
第171局游戏成功,reward为99.9
第172局游戏成功,reward为99.9319436947667
第173局游戏成功,reward为99.9
第174局游戏成功,reward为99.9
第175局游戏成功,reward为99.9
第176局游戏失败,reward为-0.04122894923399488
第177局游戏成功,reward为99.9015934260636
第178局游戏成功,reward为99.9
第179局游戏成功,reward为99.9
第180局游戏成功,reward为99.99723488945983
第181局游戏成功,reward为99.9
第182局游戏成功,reward为99.9852900768097
第183局游戏成功,reward为99.9
第184局游戏失败,reward为-0.1
第185局游戏成功,reward为99.94114864541889
第186局游戏成功,reward为99.9
第187局游戏成功,reward为99.96921012016456
第188局游戏成功,reward为99.9
第189局游戏成功,reward为99.9
第190局游戏成功,reward为99.9
第191局游戏失败,reward为-0.039692476762017204
第192局游戏成功,reward为99.96635781640659
第193局游戏失败,reward为-0.1
第194局游戏成功,reward为99.95193094987219
第195局游戏成功,reward为99.9
第196局游戏成功,reward为99.98363574862249
第197局游戏失败,reward为-0.031971441729407274
第198局游戏失败,reward为-0.02868232222502127
第199局游戏成功,reward为99.9
第200局游戏成功,reward为99.90540294888328
第201局游戏失败,reward为-0.1
第202局游戏成功,reward为99.9
