第0局游戏失败,reward为-0.0006763724031736197
第1局游戏失败,reward为-0.000659331838168914
第2局游戏失败,reward为-0.000984134715526658
第3局游戏失败,reward为-3.7388911099979494e-05
第4局游戏失败,reward为-6.714246772023067e-06
第5局游戏失败,reward为-3.128459262164013e-05
第6局游戏失败,reward为-1.694076334400694e-06
第7局游戏失败,reward为-0.0014102427451164524
第8局游戏失败,reward为-0.0012680370517125007
第9局游戏失败,reward为-0.0016285927933117118
第10局游戏失败,reward为-0.0016275314755635152
第11局游戏失败,reward为-0.0011746889201971257
第12局游戏失败,reward为-0.00029490166636226975
第13局游戏失败,reward为-0.00024773789890595313
第14局游戏失败,reward为-0.0004013198835374432
第15局游戏失败,reward为-0.0004653035852900445
第16局游戏失败,reward为-7.419353418963108e-06
第17局游戏失败,reward为-0.00012279915663553908
第18局游戏失败,reward为-0.00035051843090240373
第19局游戏失败,reward为-0.0006166991114483268
第20局游戏失败,reward为-0.00026306558693773994
第21局游戏失败,reward为-0.0001837468323915792
第22局游戏失败,reward为-4.49070804891066e-08
第23局游戏失败,reward为-2.1603442550545502e-05
第24局游戏失败,reward为-8.13448387213542e-06
第25局游戏失败,reward为-1.1509277580854308e-05
第26局游戏失败,reward为-0.00018830582539265534
第27局游戏失败,reward为-0.00019792658168438367
第28局游戏失败,reward为-3.852725503448174e-05
第29局游戏失败,reward为-0.0002614247237446979
第30局游戏失败,reward为-1.4109570328457723e-05
第31局游戏失败,reward为-0.0007893010326249562
第32局游戏失败,reward为-0.0004509611377527867
第33局游戏失败,reward为-4.6682000670527586e-07
第34局游戏失败,reward为-0.00010743341854102668
第35局游戏失败,reward为-0.00046865250789238647
第36局游戏失败,reward为-0.000292153483128256
第37局游戏失败,reward为-0.00042759346953593627
第38局游戏失败,reward为-0.0002396819721888266
第39局游戏失败,reward为-0.00022319023697259244
第40局游戏失败,reward为-0.0004475824330227918
第41局游戏失败,reward为-5.213643867507702e-05
第42局游戏失败,reward为-2.7412908705692908e-05
第43局游戏失败,reward为-3.6255519328984993e-06
第44局游戏失败,reward为-1.0533354019022589e-05
第45局游戏失败,reward为-0.00010307022457745063
第46局游戏失败,reward为-0.00017400824694926433
第47局游戏失败,reward为-0.00021817116399620723
第48局游戏失败,reward为-5.907336120676427e-05
第49局游戏失败,reward为-3.3660833394206015e-05
第50局游戏失败,reward为-0.00026298809471806545
第51局游戏失败,reward为-0.0006219930174931554
第52局游戏失败,reward为-0.0001167175607633908
第53局游戏失败,reward为-0.0005014732137409661
第54局游戏失败,reward为-0.0004845367419932467
第55局游戏失败,reward为-0.00039058821362441545
第56局游戏失败,reward为-0.0005567895483594099
第57局游戏失败,reward为-0.00016251726488852316
第58局游戏失败,reward为-7.128517710035289e-05
第59局游戏失败,reward为-0.00039444395680929837
第60局游戏失败,reward为-2.0429887714158106e-05
第61局游戏失败,reward为-0.00013371391357033246
第62局游戏失败,reward为-7.258517814605383e-05
第63局游戏失败,reward为-9.60496588459101e-06
第64局游戏失败,reward为-3.721967421274654e-05
第65局游戏失败,reward为-2.548246640674337e-06
第66局游戏失败,reward为-8.36338305533882e-05
第67局游戏失败,reward为-3.896057721375392e-05
第68局游戏失败,reward为-0.00042813004294855463
第69局游戏失败,reward为-9.821183839126003e-06
第70局游戏失败,reward为-0.0009989065836240542
第71局游戏失败,reward为-0.00048815496884344615
第72局游戏失败,reward为-9.431092816328292e-05
